Id	S	P	O	Found In	Section	Anchor	Kind of match	Text Segment	Anchor-URI
1740	Shafaq Nur Hanimefendi	Spouse	Isma'il Pasha	Abstract	0	Isma'il Pasha	exact	Shafaq Nur Hanimefendi (Arabic: شفق نور هانم افندى‎‎)(Turkish: Şefeknur Hanımefendi) was the fourth wife of Khedive Isma'il Pasha	http://nif.dbpedia.org/wiki/en/Shafaq_Nur_Hanimefendi?dbpv=2016-10&nif=phrase&char=116,129
1741	Louise Dresser	Spouse	Jack Norworth	Section	4	Jack Norworth	exact	Dresser was married twice. First, to singer/songwriter, Jack Norworth	http://nif.dbpedia.org/wiki/en/Louise_Dresser?dbpv=2016-10&nif=phrase&char=1117,1130
1742	Ruth Chatterton	Spouse	Ralph Forbes	Section	4.2	Ralph Forbes	exact	Chatterton was married three times and had no children. In 1924, she married British actor Ralph Forbes	http://nif.dbpedia.org/wiki/en/Ruth_Chatterton?dbpv=2016-10&nif=phrase&char=4668,4680
1742	Ruth Chatterton	Spouse	Ralph Forbes	Section	2	Ralph Forbes	exact	In 1924, Chatterton and her first husband, actor Ralph Forbes	http://nif.dbpedia.org/wiki/en/Ruth_Chatterton?dbpv=2016-10&nif=phrase&char=1402,1414
1743	Marya Zaturenska	Spouse	Horace Gregory	Section	1	Horace Gregory	exact	She was born in Kiev and her family emigrated to the United States, when she was eight and lived in New York. Like many immigrants, she worked in a clothing factory during the day, but was able to attend night high school. She was an outstanding student and won a scholarship to Valparaiso University; she later transferred to the University of Wisconsin–Madison, receiving a degree in library science. She met her husband, the prize-winning poet Horace Gregory	http://nif.dbpedia.org/wiki/en/Marya_Zaturenska?dbpv=2016-10&nif=phrase&char=587,601
1744	Renny Lister	Spouse	Kenneth Cope	Section	1	Kenneth Cope	exact	Renny Lister is married to film and television actor Kenneth Cope	http://nif.dbpedia.org/wiki/en/Renny_Lister?dbpv=2016-10&nif=phrase&char=131,143
1745	Lili Gentle	Spouse	Richard D. Zanuck	Section	1	Richard D. Zanuck	exact	In 1958, just before her 18th birthday, she married legendary film producer Richard D. Zanuck	http://nif.dbpedia.org/wiki/en/Lili_Gentle?dbpv=2016-10&nif=phrase&char=866,883
1746	Victoria Nuland	Spouse	Robert Kagan	Section	1	Robert Kagan	exact	Victoria Nuland was born in 1961 to Jewish parents Sherwin B. Nuland (born Shepsel Ber Nudelman) and Rhona McKhann. She graduated with a B.A. in 1983 from Brown University, where she studied Russian literature, political science, and history. Nuland’s husband is Robert Kagan	http://nif.dbpedia.org/wiki/en/Victoria_Nuland?dbpv=2016-10&nif=phrase&char=437,449
1747	Miguel Varoni	Spouse	Catherine Siachoque	Abstract	0	Catherine Siachoque	exact	Miguel Varoni (born Miguel Américo Belloto Gutiérrez; December 11, 1964) is a Colombian-Argentinian host, actor and director. He is married to Colombian actress Catherine Siachoque	http://nif.dbpedia.org/wiki/en/Miguel_Varoni?dbpv=2016-10&nif=phrase&char=161,180
1748	Prince Rahotep	Spouse	Nofret	Section	1	Nofret	exact	Rahotep’s wife was Nofret	http://nif.dbpedia.org/wiki/en/Prince_Rahotep?dbpv=2016-10&nif=word&char=1066,1072
1748	Prince Rahotep	Spouse	Nofret	Section	1	Nofret	exact	 *   Nofret	http://nif.dbpedia.org/wiki/en/Prince_Rahotep?dbpv=2016-10&nif=word&char=1256,1264
1750	Louis Henri, Prince of Condé	Spouse	Bathilde d'Orléans	Section	2	Bathilde d'Orléans	exact	On 24 April 1770, he married Bathilde d'Orléans	http://nif.dbpedia.org/wiki/en/Louis_Henri,_Prince_of_Condé?dbpv=2016-10&nif=phrase&char=667,685
1753	Ben Kingsley	Spouse	Alison Sutcliffe	Section	3	Alison Sutcliffe	exact	Kingsley has been married four times and has four children: Thomas Bhanji and artist Jasmin Bhanji, with actress Angela Morant; and Edmund Kingsley and Ferdinand Kingsley, both of whom became actors, with theatrical director Alison Sutcliffe	http://nif.dbpedia.org/wiki/en/Ben_Kingsley?dbpv=2016-10&nif=phrase&char=6541,6557
1755	Rebecca Welles	Spouse	Don Weis	Section	3	Don Weis	exact	Welles was married to television director Don Weis	http://nif.dbpedia.org/wiki/en/Rebecca_Welles?dbpv=2016-10&nif=phrase&char=2016,2024
1756	Nancy Kelly	Spouse	Fred Jackman	Section	2	Fred Jackman	exact	Kelly's was married to actor Edmond O'Brien 1941-1942, Fred Jackman, Jr. son of silent Hollywood cameraman and director Fred Jackman	http://nif.dbpedia.org/wiki/en/Nancy_Kelly?dbpv=2016-10&nif=phrase&char=2775,2787
1757	Andrea Evans	Spouse	Wayne Massey	Section	2	Wayne Massey	exact	Evans was briefly married to One Live to Live costar Wayne Massey	http://nif.dbpedia.org/wiki/en/Andrea_Evans?dbpv=2016-10&nif=phrase&char=5183,5195
1758	Louis Henri, Duke of Bourbon	Spouse	Landgravine Caroline of Hesse-Rotenburg	Section	4	Landgravine Caroline of Hesse-Rotenburg	exact	Another prominent contender was the grand duchess, later empress, Elizabeth of Russia. Others on the list included the Princess Anne Charlotte of Lorraine; a princess of Savoy who was Louis XV's first cousin, and the Landgravine Caroline of Hesse-Rotenburg	http://nif.dbpedia.org/wiki/en/Louis_Henri,_Duke_of_Bourbon?dbpv=2016-10&nif=phrase&char=9778,9817
1760	Noshi Gilani	Spouse	Saeed Khan	Section	1	Saeed Khan	exact	Gilani was born in Bahawalpur, Pakistan. She studied at Bahawalpur University. She settled in San Francisco, USA in 1995. She moved to Australia after her marriage to Saeed Khan	http://nif.dbpedia.org/wiki/en/Noshi_Gilani?dbpv=2016-10&nif=phrase&char=436,446
1761	Janet Chow	Spouse	Timmy Hung	Section	1	Timmy Hung	exact	She immigrated to Canada at age 7. She married actor Timmy Hung	http://nif.dbpedia.org/wiki/en/Janet_Chow?dbpv=2016-10&nif=phrase&char=339,349
1762	Laura Knight	Spouse	Harold Knight	Section	1.1	Harold Knight	exact	Charlotte Johnson taught part-time at the Nottingham School of Art, and managed to have Laura Johnson enrolled as an 'artisan student' there, paying no fees, aged thirteen. At the age of fifteen, Laura Johnson took over her mother's teaching duties when Charlotte became seriously ill. Later she won a modest scholarship and the gold medal in the national student competition held by the then South Kensington Museum. She continued to give private lessons after she left the Art School, as both her and her sister Evangeline Agnes, known as Sissie, had been left to live together on very little money, after the deaths of their mother, their sister Nellie and both their grandmothers. At school, Laura met one of the most promising students, Harold Knight	http://nif.dbpedia.org/wiki/en/Laura_Knight?dbpv=2016-10&nif=phrase&char=2137,2150
1763	Gladys George	Spouse	Leonard Penn	Section	3	Leonard Penn	exact	 *  On March 31, 1922, she and actor Ben Erway eloped and were married by a judge in Oakland, California. "They were remarried in San Luis Obispo August 3 of the same year. They separated September 14, 1930." The couple divorced in October 1930.  *  Her second husband was millionaire paper manufacturer Edward Fowler, who walked out in 1933 after finding the actress in the arms of her leading man, Leonard Penn. At the time George was playing a nymphomaniacal star in the Broadway hit Personal Appearance.  *  George and actor Leonard Penn	http://nif.dbpedia.org/wiki/en/Gladys_George?dbpv=2016-10&nif=phrase&char=2188,2200
1764	Laura Riding	Spouse	Louis R. Gottschalk	Section	1	Louis R. Gottschalk	exact	She was born Laura Reichenthal in New York to a family of Austrian Jewish immigrants, and educated at Cornell University, where she began to write poetry, publishing first (1923–26) under the name Laura Riding Gottschalk. She became associated with the Fugitives through Allen Tate, and they published her poems in The Fugitive magazine. Her first marriage, to historian Louis R. Gottschalk	http://nif.dbpedia.org/wiki/en/Laura_Riding?dbpv=2016-10&nif=phrase&char=518,537
1766	Armand de Vignerot du Plessis	Spouse	Élisabeth Sophie de Lorraine	Section	5	Marie Élisabeth Sophie de Lorraine	partial	He was married three times. At the age of fourteen, against his will, he was forced to marry Anne Catherine de Noailles. In 1734, as a result of the intrigues of Voltaire, he married Marie Élisabeth Sophie de Lorraine	http://nif.dbpedia.org/wiki/en/Armand_de_Vignerot_du_Plessis?dbpv=2016-10&nif=phrase&char=4926,4960
1767	Manuel Ancízar	Spouse	Agripina Samper Agudelo	Section	1	Agripina Samper Agudelo	exact	Manuel Esteban was born on 25 December 1812 in Fontibon, Bogotá to José Francisco Ancízar y Zabaleta, Spaniard native of Navarre, and Juana Bernarda Basterra y Abaurrea, Spaniard native of Biscay. In 1819 his father, who had served as Corregidor of Zipaquirá under the Viceroy of New Granada, Juan José de Sámano y Uribarri; during the time of the Reconquista, was forced to flee the capital when the Spanish forces fell at the Battle of Boyacá and the victorious forces of General Simón Bolívar entered the capital. The family arrived in Cartagena de Indias, three of Manuel's siblings died in the arduous journey; in 1821 they had to flee again when this Spanish bastion fell to the forces of Admiral José Prudencio Padilla López. The Ancízar Basterra family landed this time in Cuba, a safe Spanish colony, where they remained under much impoverished circumstances as refugees; his mother and his only remaining sibling died few years after. In 1832 he graduated from the University of Saint Jerome in Civil Law, and two years later received his degree in Canon Law. On 4 July 1857 he married Agripina Samper Agudelo	http://nif.dbpedia.org/wiki/en/Manuel_Ancízar?dbpv=2016-10&nif=phrase&char=1471,1494
1768	Susan Moody	Spouse	John Dalgleish Donaldson	Abstract	0	John Dalgleish Donaldson	exact	Susan Moody (born 1940 in Oxford) is the principal nom de plume of Susan Elizabeth Horwood, an English novelist best known for her suspense novels. After marrying Professor John Dalgleish Donaldson	http://nif.dbpedia.org/wiki/en/Susan_Moody?dbpv=2016-10&nif=phrase&char=173,197
1769	Malini Fonseka	Spouse	Lucky Dias	Section	1.2	Lucky Dias	exact	On 12 June 1986, she married Lucky Dias	http://nif.dbpedia.org/wiki/en/Malini_Fonseka?dbpv=2016-10&nif=phrase&char=1054,1064
1771	Albert, King of Sweden	Spouse	Agnes of Brunswick-Lüneburg	Section	4	Agnes of Brunswick-Lüneburg	exact	In February 1396 in Schwerin Albert married Agnes of Brunswick-Lüneburg	http://nif.dbpedia.org/wiki/en/Albert,_King_of_Sweden?dbpv=2016-10&nif=phrase&char=4989,5016
1772	Adolf, Duke of Guelders	Spouse	Catharine of Bourbon	Section	1	Catharine of Bourbon	exact	Adolf married Catharine of Bourbon	http://nif.dbpedia.org/wiki/en/Adolf,_Duke_of_Guelders?dbpv=2016-10&nif=phrase&char=816,836
1773	Barbara Roberts	Spouse	Frank L. Roberts	Section	2.2	Frank L. Roberts	exact	Her husband, Frank L. Roberts	http://nif.dbpedia.org/wiki/en/Barbara_Roberts?dbpv=2016-10&nif=phrase&char=4055,4071
1773	Barbara Roberts	Spouse	Frank L. Roberts	Abstract	0	Frank L. Roberts	exact	Barbara Kay Roberts (born December 21, 1936) is an American politician from the state of Oregon. A native of the state, she served as the 34th Governor of Oregon from 1991 to 1995. She was the first woman to serve as Oregon governor, and the only woman elected to that office. A Democrat, Roberts was also the first woman to serve as majority leader in the Oregon House of Representatives. She also won two terms as Oregon Secretary of State and served in local and county government in Portland. Roberts was married to Oregon State Senator Frank L. Roberts	http://nif.dbpedia.org/wiki/en/Barbara_Roberts?dbpv=2016-10&nif=phrase&char=541,557
1773	Barbara Roberts	Spouse	Frank L. Roberts	Section	2	Frank L. Roberts	exact	In 1973, she was elected to Parkrose School Board and later, to the Mount Hood Community College board. In 1974, she married Oregon state representative and later state senator Frank L. Roberts	http://nif.dbpedia.org/wiki/en/Barbara_Roberts?dbpv=2016-10&nif=phrase&char=2076,2092
1774	David Henry Hwang	Spouse	Kathryn Layng	Section	6	Kathryn Layng	exact	He lives in New York City with his wife, actress Kathryn Layng	http://nif.dbpedia.org/wiki/en/David_Henry_Hwang?dbpv=2016-10&nif=phrase&char=16018,16031
1775	Jomo Kenyatta	Spouse	Grace Wahu	Section	1	Grace Wahu	exact	In 1920 he married Grace Wahu	http://nif.dbpedia.org/wiki/en/Jomo_Kenyatta?dbpv=2016-10&nif=phrase&char=3206,3216
1777	Valerie Hobson	Spouse	Anthony Havelock-Allan	Section	1	Anthony Havelock-Allan	exact	In 1952 she divorced her first husband, film producer Sir Anthony Havelock-Allan	http://nif.dbpedia.org/wiki/en/Valerie_Hobson?dbpv=2016-10&nif=phrase&char=929,951
1778	John of Brienne	Spouse	Berengaria of León	Section	5	Berengaria of León	exact	John married his third wife, Berengaria of León	http://nif.dbpedia.org/wiki/en/John_of_Brienne?dbpv=2016-10&nif=phrase&char=26995,27013
1778	John of Brienne	Spouse	Berengaria of León	Section	2.4	Berengaria of León	exact	He made a pilgrimage to Santiago de Compostela in March 1224. According to the Latin Chronicle of the Kings of Castile, John went to the Kingdom of León to marry one of the elder daughters of Alfonso IX of León (Sancha or Dulce) because Alfonso had promised him the kingdom "along with her". The marriage could jeopardize the claim of Sancha's and Dulce's half-brother, Ferdinand III of Castile, to León. To protect her son's interests, Ferdinand's mother Berengaria of Castile decided to give her daughter (Berengaria of León	http://nif.dbpedia.org/wiki/en/John_of_Brienne?dbpv=2016-10&nif=phrase&char=17518,17536
1779	Valdemar II of Denmark	Spouse	Berengaria of Portugal	Section	3.1	Berengaria of Portugal	exact	With his second wife, Berengaria of Portugal	http://nif.dbpedia.org/wiki/en/Valdemar_II_of_Denmark?dbpv=2016-10&nif=phrase&char=12692,12714
1781	Duchess Augusta of Brunswick-Wolfenbüttel	Spouse	Frederick I of Württemberg	Section	3	Frederick I of Württemberg	exact	By her husband, Frederick I of Württemberg	http://nif.dbpedia.org/wiki/en/Duchess_Augusta_of_Brunswick-Wolfenbüttel?dbpv=2016-10&nif=phrase&char=5579,5605
1782	Ann VanderMeer	Spouse	Jeff VanderMeer	Section	3.1	Jeff VanderMeer	exact	 *  The New Weird (with Jeff VanderMeer	http://nif.dbpedia.org/wiki/en/Ann_VanderMeer?dbpv=2016-10&nif=phrase&char=2302,2317
1782	Ann VanderMeer	Spouse	Jeff VanderMeer	Section	2	Jeff VanderMeer	exact	Ann has partnered with her husband, author Jeff VanderMeer	http://nif.dbpedia.org/wiki/en/Ann_VanderMeer?dbpv=2016-10&nif=phrase&char=1470,1485
1782	Ann VanderMeer	Spouse	Jeff VanderMeer	Section	1	Jeff VanderMeer	exact	Books published by Buzzcity Press include the Theodore Sturgeon Award finalist Dradin, In Love by Jeff VanderMeer	http://nif.dbpedia.org/wiki/en/Ann_VanderMeer?dbpv=2016-10&nif=phrase&char=1009,1024
1783	Zahida Hina	Spouse	Jon Elia	Section	1	Jon Elia	exact	Zahida was born in the India, after the independence of Pakistan in 1947, her father, Muhammad Abul Khair, emigrated to Pakistan and settled in Karachi, where Zahida was brought up and educated. She wrote her first story when she was nine years old. She graduated from University of Karachi, and her first essay was published in the monthly Insha in 1962. She chose journalism as a career in mid 60s. In 1970, she married the well-known poet Jon Elia	http://nif.dbpedia.org/wiki/en/Zahida_Hina?dbpv=2016-10&nif=phrase&char=573,581
1783	Zahida Hina	Spouse	Jon Elia	Section	4	Jon Elia	exact	 * Jon Elia	http://nif.dbpedia.org/wiki/en/Zahida_Hina?dbpv=2016-10&nif=phrase&char=1923,1931
1784	Nicholas Shehadie	Spouse	Marie Bashir	Section	4	Marie Bashir	exact	In February 1957 Shehadie married Marie Bashir	http://nif.dbpedia.org/wiki/en/Nicholas_Shehadie?dbpv=2016-10&nif=phrase&char=7748,7760
1785	Eric Allman	Spouse	Marshall Kirk McKusick	Section	4	Marshall Kirk McKusick	exact	Allman, who is openly gay, lives in Berkeley, California with Marshall Kirk McKusick	http://nif.dbpedia.org/wiki/en/Eric_Allman?dbpv=2016-10&nif=phrase&char=2273,2295
1786	Siân Phillips	Spouse	Robin Sachs	Section	4	Robin Sachs	exact	Her third husband was actor Robin Sachs	http://nif.dbpedia.org/wiki/en/Siân_Phillips?dbpv=2016-10&nif=phrase&char=8008,8019
1787	Alison Fraser	Spouse	Rusty Magee	Section	1	Rusty Magee	exact	She was the original "Trina" (Marvin's ex-wife) in William Finn's March of the Falsettos and In Trousers (Playwrights Horizons). She also did vocal orchestrations for both shows. She played "Miss Drumgoole" in Todd Rundgren's adaptation of Joe Orton's Up Against It (New York Shakespeare Festival), "Uta" in Charles Busch and Rusty Magee	http://nif.dbpedia.org/wiki/en/Alison_Fraser?dbpv=2016-10&nif=phrase&char=1481,1492
1788	Darin Strauss	Spouse	Susannah Meadows	Section	4	Susannah Meadows	exact	Strauss is married to the journalist Susannah Meadows	http://nif.dbpedia.org/wiki/en/Darin_Strauss?dbpv=2016-10&nif=phrase&char=3646,3662
1791	Shun Oguri	Spouse	Yu Yamada	Section	2	Yu Yamada	exact	Shun Oguri married actress and model Yu Yamada	http://nif.dbpedia.org/wiki/en/Shun_Oguri?dbpv=2016-10&nif=phrase&char=2588,2597
1793	Sarah Miles	Spouse	Robert Bolt	Section	3	Robert Bolt	exact	Miles was married twice to the British playwright Robert Bolt	http://nif.dbpedia.org/wiki/en/Sarah_Miles?dbpv=2016-10&nif=phrase&char=3906,3917
1794	Nansun Shi	Spouse	Tsui Hark	Abstract	0	Tsui Hark	exact	Shi is ex-wife of celebrated director Tsui Hark	http://nif.dbpedia.org/wiki/en/Nansun_Shi?dbpv=2016-10&nif=phrase&char=337,346
1795	Emperor Kōmei	Spouse	Empress Eishō	Section	1	Empress Eishō	exact	The Kōmei principal consort was Asako Kujō (九条夙子). After Kōmei's death in 1867, Asako was given the title Empress Eishō	http://nif.dbpedia.org/wiki/en/Emperor_Kōmei?dbpv=2016-10&nif=phrase&char=748,761
1796	Anders Ekborg	Spouse	Lia Boysen	Abstract	0	Lia Boysen	exact	Jon Anders Ekborg (born 9 October 1960) is a Swedish actor and singer who has performed the roles of Karl Oskar in Kristina från Duvemåla and Freddie Trumper in Chess, two musicals that were written by former ABBA members Benny Andersson and Björn Ulvaeus. He has also acted in many Swedish-language versions of musicals, such as Jekyll and Hyde, Evita and Jesus Christ Superstar. He has been married to the actress Lia Boysen	http://nif.dbpedia.org/wiki/en/Anders_Ekborg?dbpv=2016-10&nif=phrase&char=416,426
1803	Namdeo Dhasal	Spouse	Malika Amar Sheikh	Section	6	Malika Amar Sheikh	exact	Dhasal was married to Malika Amar Sheikh	http://nif.dbpedia.org/wiki/en/Namdeo_Dhasal?dbpv=2016-10&nif=phrase&char=4669,4687
1804	Stanner E.V. Taylor	Spouse	Marion Leonard	Abstract	0	Marion Leonard	exact	Stanner E.V. Taylor (28 September 1877 – 23 November 1948) was an American screenwriter and director of the silent era. He wrote for 108 films between 1908 and 1929. He was born in St. Louis, Missouri and died in Los Angeles, California. He was married to Biograph Company actress Marion Leonard	http://nif.dbpedia.org/wiki/en/Stanner_E.V._Taylor?dbpv=2016-10&nif=phrase&char=281,295
1805	Marcus Whitman	Spouse	Narcissa Whitman	Section	9	Marcus and Narcissa Whitman and the Opening of Old Oregon by Clifford M. Drury at Whitman Mission National Historic Site	partial	 *  Marcus and Narcissa Whitman and the Opening of Old Oregon by Clifford M. Drury at Whitman Mission National Historic Site	http://nif.dbpedia.org/wiki/en/Marcus_Whitman?dbpv=2016-10&nif=phrase&char=7758,7879
1805	Marcus Whitman	Spouse	Narcissa Whitman	Section	9	: "Marcus & Narcissa Whitman"	partial	 *  Marcus and Narcissa Whitman and the Opening of Old Oregon by Clifford M. Drury at Whitman Mission National Historic Site  *  Whitman at the Architect of the Capitol  *  The West: "Marcus & Narcissa Whitman"	http://nif.dbpedia.org/wiki/en/Marcus_Whitman?dbpv=2016-10&nif=phrase&char=7937,7965
1806	Joke Silva	Spouse	Olu Jacobs	Section	2.1	Olu Jacobs	exact	In 2002, Silva starred opposite Bimbo Akintola in Keeping Faith. Akintola later cited Silva, whom she refers to as "Aunty Joke", as a major career influence, adding, "Silva has done a lot, but it's not even about the things that she did, it's about the things she didn’t realize that she did". Also in 2002, Silva co-produced and starred in The Kingmaker with Olu Jacobs	http://nif.dbpedia.org/wiki/en/Joke_Silva?dbpv=2016-10&nif=phrase&char=2836,2846
1806	Joke Silva	Spouse	Olu Jacobs	Section	4	Olu Jacobs	exact	Silva is married to veteran actor Olu Jacobs	http://nif.dbpedia.org/wiki/en/Joke_Silva?dbpv=2016-10&nif=phrase&char=5572,5582
1806	Joke Silva	Spouse	Olu Jacobs	Abstract	0	Olu Jacobs	exact	Silva is married to actor Olu Jacobs	http://nif.dbpedia.org/wiki/en/Joke_Silva?dbpv=2016-10&nif=phrase&char=648,658
1807	Anne Russell, Countess of Warwick	Spouse	Ambrose Dudley, 3rd Earl of Warwick	Abstract	0	Ambrose Dudley, 3rd Earl of Warwick	exact	Anne Dudley (née Russell), Countess of Warwick (1548/1549 – 9 February 1604) was an English noblewoman, and a lady-in-waiting and close friend of Elizabeth I. She was the third wife of Ambrose Dudley, 3rd Earl of Warwick	http://nif.dbpedia.org/wiki/en/Anne_Russell,_Countess_of_Warwick?dbpv=2016-10&nif=phrase&char=185,220
1807	Anne Russell, Countess of Warwick	Spouse	Ambrose Dudley, 3rd Earl of Warwick	Section	1	Ambrose Dudley, 3rd Earl of Warwick	exact	Anne Russell was the eldest daughter of Francis Russell, 2nd Earl of Bedford and his first wife Margaret St. John. Possibly serving the future Elizabeth I from childhood, she became a maid of honour in 1559, shortly after the Queen's accession. When she was 16 her father and Elizabeth's favourite, Robert Dudley, 1st Earl of Leicester, arranged her marriage to Ambrose Dudley, 3rd Earl of Warwick	http://nif.dbpedia.org/wiki/en/Anne_Russell,_Countess_of_Warwick?dbpv=2016-10&nif=phrase&char=605,640
1808	Amanda Pays	Spouse	Corbin Bernsen	Section	1	Corbin Bernsen	exact	Pays was born in London, England, the daughter of Jan (née Miller), an actress, and Howard Pays, a talent agent and former actor. She is the niece of former child actress Mandy Miller, after whom she is named. Her first marriage, from 1984 to 1987, was to Peter Kohn, who later went on to be the production manager for Pirates of the Caribbean. Following her divorce, Pays married American actor Corbin Bernsen	http://nif.dbpedia.org/wiki/en/Amanda_Pays?dbpv=2016-10&nif=phrase&char=465,479
1808	Amanda Pays	Spouse	Corbin Bernsen	Section	2	Corbin Bernsen	exact	Pays made her film debut in Oxford Blues (1984) and she played a French nun, Sister Nicole, in Off Limits (1988 film) with Willem Dafoe, Gregory Hines and Fred Ward. She is known for her roles as Theora Jones in the film and television series Max Headroom and as Christina "Tina" McGee in The Flash. Pays also had a guest role as Phoebe Green in episode "Fire" (1993) of The X-Files, in the episode "Cindy Plumb" (2006) of Nip/Tuck and in the episode "Black and Tan: A Crime of Fashion" (2008) of Psych, opposite husband Corbin Bernsen	http://nif.dbpedia.org/wiki/en/Amanda_Pays?dbpv=2016-10&nif=phrase&char=1141,1155
1809	John DeLorean	Spouse	Cristina Ferrare	Section	7	Cristina Ferrare	exact	DeLorean was married four times. His first marriage was to Elizabeth Higgins on September 3, 1954, and divorced in 1969. DeLorean then married Kelly Harmon, the sister of actor Mark Harmon and daughter of Heisman Trophy winner Tom Harmon and actress Elyse Knox on May 31, 1969; they divorced in 1972. His third marriage was to model Cristina Ferrare	http://nif.dbpedia.org/wiki/en/John_DeLorean?dbpv=2016-10&nif=phrase&char=24907,24923
1809	John DeLorean	Spouse	Cristina Ferrare	Section	7	Cristina Ferrare	exact	According to his autobiography, both DeLorean and former wife Cristina Ferrare	http://nif.dbpedia.org/wiki/en/John_DeLorean?dbpv=2016-10&nif=phrase&char=26521,26537
1810	Diana Hart	Spouse	Davey Boy Smith	Section	2.1	Davey Boy Smith	exact	One of Hart's first wrestling appearances was in her father's promotion, Stampede Wrestling, in August 1989, during a heated rivalry between her husband Davey Boy Smith	http://nif.dbpedia.org/wiki/en/Diana_Hart?dbpv=2016-10&nif=phrase&char=912,927
1810	Diana Hart	Spouse	Davey Boy Smith	Section	5	Davey Boy Smith	exact	Hart met Davey Boy Smith	http://nif.dbpedia.org/wiki/en/Diana_Hart?dbpv=2016-10&nif=phrase&char=5858,5873
1811	Shirley Jones	Spouse	Jack Cassidy	Abstract	0	Jack Cassidy	exact	Shirley Mae Jones (born March 31, 1934) is an American singer and actress of stage, film and television. In her six decades of show business, she has starred as wholesome characters in a number of well-known musical films, such as Oklahoma! (1955), Carousel (1956), and The Music Man (1962). She won the Academy Award for Best Supporting Actress for playing a vengeful prostitute in Elmer Gantry (1960). She played the lead role of Shirley Partridge, the widowed mother of five children, in the musical situation-comedy television series The Partridge Family (1970–74), which co-starred her real-life stepson David Cassidy, son of Jack Cassidy	http://nif.dbpedia.org/wiki/en/Shirley_Jones?dbpv=2016-10&nif=phrase&char=631,643
1811	Shirley Jones	Spouse	Jack Cassidy	Section	6	Jack Cassidy	exact	On August 5, 1956, Jones married singer and actor Jack Cassidy	http://nif.dbpedia.org/wiki/en/Shirley_Jones?dbpv=2016-10&nif=phrase&char=11058,11070
1811	Shirley Jones	Spouse	Jack Cassidy	Section	10	Jack Cassidy	exact	 * 1953: South Pacific (Broadway)  * 1954: Me and Juliet (Chicago)  * 1956: Oklahoma! (European tour with Jack Cassidy	http://nif.dbpedia.org/wiki/en/Shirley_Jones?dbpv=2016-10&nif=phrase&char=20740,20752
1812	Matt Adler	Spouse	Laura San Giacomo	Abstract	0	Laura San Giacomo	exact	Adler was married to actress Ria Pavia from 1993 to 1995. He is currently married to actress Laura San Giacomo	http://nif.dbpedia.org/wiki/en/Matt_Adler?dbpv=2016-10&nif=phrase&char=426,443
1813	Martha Scott	Spouse	Mel Powell	Section	3	Mel Powell	exact	Martha Scott was twice-married. First to radio producer and announcer Carleton William Alsop from 1940 to 1946, and then to jazz pianist and composer Mel Powell	http://nif.dbpedia.org/wiki/en/Martha_Scott?dbpv=2016-10&nif=phrase&char=4643,4653
1814	Barbara Turner (screenwriter)	Spouse	Vic Morrow	Section	1	Vic Morrow	exact	Turner attended University of Texas at Austin, where she studied acting. After a year of college, Turner moved back to New York, studying at Erwin Piscator's Dramatic Workshop and then with acting coach Paul Mann, where she met fellow actor, Vic Morrow	http://nif.dbpedia.org/wiki/en/Barbara_Turner_(screenwriter)?dbpv=2016-10&nif=phrase&char=839,849
1814	Barbara Turner (screenwriter)	Spouse	Vic Morrow	Section	3	Vic Morrow	exact	Turner was married twice. From 1957-64 Turner was married to actor and frequent collaborator, Vic Morrow	http://nif.dbpedia.org/wiki/en/Barbara_Turner_(screenwriter)?dbpv=2016-10&nif=phrase&char=5625,5635
1815	Serfiraz Hanımefendi	Spouse	Abdülmecid I	Abstract	0	Abdülmecid I	exact	Serfiraz Hanımefendi (Ottoman Turkish: سرفراز خانم آفندی‎, fully: Devletlu İkinci Ikbal Serfiraz Hanımefendi Hazretleri; c. 1837 - 9 June 1905; birth name Princess Ayşe Liah-Lakh) was the wife of Sultan Abdülmecid I	http://nif.dbpedia.org/wiki/en/Serfiraz_Hanımefendi?dbpv=2016-10&nif=phrase&char=203,215
1817	Christine Belford	Spouse	Nicholas Pryor	Section	5	Nicholas Pryor	exact	Belford has been married to actor Nicholas Pryor	http://nif.dbpedia.org/wiki/en/Christine_Belford?dbpv=2016-10&nif=phrase&char=3829,3843
1818	Gillian Lynne	Spouse	Peter Land	Section	6	Peter Land	exact	Lynne married her second husband, actor/singer Peter Land	http://nif.dbpedia.org/wiki/en/Gillian_Lynne?dbpv=2016-10&nif=phrase&char=4983,4993
1819	Andy Cadiff	Spouse	Susan Diol	Abstract	0	Susan Diol	exact	Cadiff married actress Susan Diol	http://nif.dbpedia.org/wiki/en/Andy_Cadiff?dbpv=2016-10&nif=phrase&char=644,654
1820	Stephen Dunham	Spouse	Alexondra Lee	Section	1	Alexondra Lee	exact	Stephen Dunham was born Stephen Dunham Bowers in Boston, Massachusetts on September 14th 1964. He grew up in Manchester, New Hampshire. He was married to actress Alexondra Lee	http://nif.dbpedia.org/wiki/en/Stephen_Dunham?dbpv=2016-10&nif=phrase&char=418,431
