number of equals = 2951
number of contains = 176
notInAbstractList = 6906
Appoaches:
	Sbj-Obj = 2313
	Pronoun-Obj = 814
Extraction:
	In Sentence = 2969
	In Paragraph = 158
Blank Sentences = 7
Kind of Match	Section	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Equal	Abstract	In Sentence	Sbj-Obj		Matthew, Count of Boulogne	http://dbpedia.org/resource/Matilda_of_Boulogne,_Duchess_of_Brabant	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Matthew,_Count_of_Boulogne	Matilda of Flanders (1170 – 16 October 1210) was the younger daughter of Marie I, Countess of Boulogne, and her husband Matthew, Count of Boulogne	(Not to be confused with Matilda of Flanders.) Matilda of Flanders (1170 – 16 October 1210) was the younger daughter of Marie I, Countess of Boulogne, and her husband Matthew, Count of Boulogne. Matilda was Duchess of Brabant by her marriage to Henry I, Duke of Brabant. Matilda's parents' marriage was annulled the year she was born and her mother became a Benedictine nun at St. Austrebert, Montreuil and died in 1182. Matilde's father continued to reign as Count of Boulogne until his death in 1173, when her older sister Ida became countess. At the age of nine, Matilda married Henry I, Duke of Brabant, in 1179. The couple went on to have seven children:  *  Maria (c. 1190 – May 1260), married in Maastricht after 19 May 1214 Otto IV, Holy Roman Emperor, married July 1220 Count William I of Holland  *  Adelaide (b. c. 1190), married 1206 Arnold III, Count of Loos, married 3 February 1225 William X of Auvergne (c. 1195–1247), married before 21 April 1251 Arnold van Wesemaele (d. aft. 1288)  *  Margaret (1192–1231), married January 1206 Gerard III, Count of Guelders (d. 22 October 1229)  *  Mathilde (c. 1200 – 22 December 1267), married in Aachen in 1212 Henry II, Count Palatine of the Rhine (d. 1214), married on 6 December 1214 Floris IV, Count of Holland  *  Henry II of Brabant (1207–1248), married firstly before 22 August 1215 Marie of Hohenstaufen; married secondly in 1240 Sophie of Thuringia  *  Godfrey (1209 – 21 January 1254), Lord of Gaesbeek, married Maria van Oudenaarde  *  child, whose name and sex is unknown Matilde died in 1210 or 1211. She was buried at St. Peter's in Leuven.	
Equal	Abstract	In Sentence	Pronoun-Obj		Andriamasinavalona	http://dbpedia.org/resource/Andriantsimitoviaminiandriana_Andriandrazaka	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Andriamasinavalona	(**he=Andriantsimitoviaminiandriana Andriandrazaka**): He was a son of Andriamasinavalona	Andriantsimitoviaminiandriana Andriandrazaka (also Andriantsimitoviaminandriandrazaka) was King of Avaradrano in the central highlands of Madagascar from 1710 to 1730, and king of neighboring Ambohidrabiby after defeating his brother, Andrianavalonimerina. He was a son of Andriamasinavalona, sovereign of the former Kingdom of Imerina, and his wife Ratompoindraoandriana. Sometime during his life Andriantsimitoviaminiandriana adopted Rakotomavo, who would later succeed him as King Andriambelomasina. As a child, Andriantsimitoviaminiandriana was sent to live in a village that his father named Ambohimanga. As a young man, his father granted him the region of Avaradrano surrounding the village, and while his father still lived he managed the daily affairs of state in Avaradrano without taking the title of king. He declared Ambohimanga the capital of the region, building numerous structures on the site and adding its first set of defensive walls, ditches and gates. The site's historic and cultural significance was recognized in 2001 when UNESCO declared it a World Heritage Site, the only one in the cultural category in Madagascar. He became an independent king upon his father's death and the resulting partition of the Kingdom of Imerina in 1710, from which he received Avaradrano, the easternmost and largest territory. He died around 1730 and was buried at Ambohimanga.	
Equal	Abstract	In Sentence	Pronoun-Obj		Afinia Gemina Baebiana	http://dbpedia.org/resource/Volusianus	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Afinia_Gemina_Baebiana	(**he=Volusianus**): He was son to Gaius Vibius Trebonianus Gallus by his wife Afinia Gemina Baebiana	Volusianus (Latin: Gaius Vibius Volusianus Augustus; died August 253), also known as Volusian, was a Roman Emperor from 251 to 253. He was son to Gaius Vibius Trebonianus Gallus by his wife Afinia Gemina Baebiana. He is known to have had a sister, Vibia Galla. The death of Decius in early June 251 led to Trebonianus Gallus' elevation to the throne. Gallus adopted Decius' son Hostilian and made him co-ruler. Volusianus was named Caesar and Princeps Juventutis. Later in 251 Hostilian died of the plague and Volusianus replaced him as Augustus and co-ruler. Father and son were both killed in 253 by mutinous troops in Interamna.	
Equal	Abstract	In Sentence	Sbj-Obj		Guillemette of Neufchâtel	http://dbpedia.org/resource/Joanna_of_Burgundy	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Guillemette_of_Neufchâtel	Joanna of Burgundy (died 1349) was a daughter of Reginald of Burgundy and his wife, Guillemette of Neufchâtel	Joanna of Burgundy (died 1349) was a daughter of Reginald of Burgundy and his wife, Guillemette of Neufchâtel. She married three times:  *  With Ulrich III of Pfirt (d. 1324). They had two daughters:  *  Joanna (1300-1351), married Albert II, Duke of Austria  *  Ursula, married Hugo of Hohenberg  *  With Rudolf Hesso of Baden-Baden (d. 1335), she had two more daughters:  *  Margaret (d.1367), married her second cousin Frederick III of Baden-Baden (d. 1353)  *  Adelaide (died after 1399), married her second cousin Margrave Rudolf V of Baden-Pforzheim (brother of Frederick III; died in 1631) and later Count Walram IV of Tierstein (d. 1386)  *  With William of Katzenelnbogen; this marriage remained childless. When her brother Othenin, Count of Montbéliard died childless in 1339, she and her second husband Rudolf Hesso inherited the Lordships of Belfort and Héricourt. After the death of her third husband, she divided her possessions amongst her four daughters. Margaret received Héricourt; Adelaide and Ursula shared Belfort.	
Equal	Abstract	In Sentence	Sbj-Obj		Maria of Nassau-Dillenburg	http://dbpedia.org/resource/John_Louis_II,_Count_of_Nassau-Wiesbaden-Idstein	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Maria_of_Nassau-Dillenburg	Count John Louis II of Nassau-Wiesbaden-Idstein (born: 21 May 1596; died: 9 June 1605 at Dillenburg) was the youngest and only surviving son of John Louis I and Maria of Nassau-Dillenburg	Count John Louis II of Nassau-Wiesbaden-Idstein (born: 21 May 1596; died: 9 June 1605 at Dillenburg) was the youngest and only surviving son of John Louis I and Maria of Nassau-Dillenburg. He was only a few weeks old when his father died and he inherited Nassau-Wiesbaden and Nassau-Idstein. However, he died when he was nine years old. With his death, the Nassau-Wiesbaden-Idstein line died out. Wiesbaden and Idstein fell back to Nassau-Weilburg, thereby reuniting all the territories of the Nassau-Walram line in one hand.	
Equal	Abstract	In Sentence	Sbj-Obj		Bárid mac Ímair	http://dbpedia.org/resource/Colla_mac_Báirid	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Bárid_mac_Ímair	Colla's parentage is uncertain; according to one theory he was the son or grandson of Bárid mac Ímair	Colla mac Báirid or Colla ua Báirid (Old Norse: Kolli (possibly), died 932) was a Viking leader who ruled Limerick in the early 10th century. He first appears in contemporary annals in 924 when he is recorded as leading a raiding fleet to Lough Ree. He appears in the annals for the second and final time in 932 when his death his recorded. In both of these instances he is titled king of Limerick. Colla's parentage is uncertain; according to one theory he was the son or grandson of Bárid mac Ímair, a Uí Ímair king of Dublin, and according to another he was the son of Bárid mac Oitir.	
Equal	Abstract	In Sentence	Sbj-Obj		Peter II of Courtenay	http://dbpedia.org/resource/Yolanda_de_Courtenay	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Peter_II_of_Courtenay	Yolanda was the daughter of Count Peter II of Courtenay	Yolanda de Courtenay (c. 1200–1233), Queen of Hungary was the second wife of King Andrew II of Hungary. Yolanda was the daughter of Count Peter II of Courtenay and his second wife, Yolanda of Flanders, the sister of Baldwin I and Henry I, the Emperors of Constantinople. Her marriage with King Andrew II, whose first wife, Gertrude had been murdered by conspirators on 24 September 1213, was arranged by her uncle, the Emperor Henry I. Their marriage was celebrated in February 1215 in Székesfehérvár and Archbishop John of Esztergom crowned her queen consort. However, Bishop Robert of Veszprém sent a complaint to Pope Innocent III, because the coronation of the queens consort in Hungary had been traditionally the privilege of his see. The Pope sent a legate to Hungary in order to investigate the complaint and confirmed the privilege of the See of Veszprém. Following her uncle's death on 11 July 1216, her husband was planning to acquire the imperial crown for himself, but the barons of the Latin Empire proclaimed her father emperor, instead. Yolanda maintained good relations with her husband's children from his first marriage. Her husband survived her. She was buried in the Igriș Abbey of the White Monks.	
Equal	Abstract	In Sentence	Sbj-Obj		Peter II of Portugal	http://dbpedia.org/resource/Isabel_Luísa,_Princess_of_Beira	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Peter_II_of_Portugal	Isabel Luísa of Portugal (Lisbon, January 6, 1669 – Palhavã, October 21, 1690) was a Portuguese infanta (princess) and the sole daughter of King Peter II of Portugal	Infanta Isabel Luísa of Portugal (Lisbon, January 6, 1669 – Palhavã, October 21, 1690) was a Portuguese infanta (princess) and the sole daughter of King Peter II of Portugal and his first wife and former sister-in-law Maria Francisca of Savoy. As such she was styled Princess of Beira. She was the presumptive heir to the throne of Portugal between 1668 and 1689, the year her half-brother John was born.	
Equal	Abstract	In Sentence	Sbj-Obj		Ethel Kennedy	http://dbpedia.org/resource/Douglas_Harriman_Kennedy	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Ethel_Kennedy	Douglas Harriman Kennedy (born March 24, 1967) is the tenth child of Robert F. Kennedy and Ethel Kennedy	Douglas Harriman Kennedy (born March 24, 1967) is the tenth child of Robert F. Kennedy and Ethel Kennedy, named in honor of W. Averell Harriman, a family friend and former governor of New York.	
Equal	Abstract	In Sentence	Pronoun-Obj		Feliciano Viera	http://dbpedia.org/resource/Petrona_Viera	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Feliciano_Viera	(**she=Petrona Viera**): She was born in Montevideo in 1895 as the daughter of Carmen Garino and President Feliciano Viera	Petrona Viera (24 March 1895 – 4 October 1960) was an Uruguayan painter. She was born in Montevideo in 1895 as the daughter of Carmen Garino and President Feliciano Viera. She is considered the first female professional painter in Uruguay. She was part of the Planismo movement of austere lines and bright colors. Viera was deaf since the age of two due to meningitis, and used art as a way to express herself. As a child she was taught by a French teacher specializing in the teaching of deaf children, Madame Madeleine Larnaudie. She began to paint at age 18, with private lessons from the Catalan master Vincent Puig, but later he left the country and in 1922 Viera began to take lessons from Guillermo Laborde. She began to exhibit her paintings in 1923, and had her first solo exhibition in 1926 at Gallery Maveroff. Viera was the first female painter in Uruguay to win prizes and also the first to be a full-time professional painter. Viera had to strive to overcome prejudice against her as the daughter of the President. When Guillermo Laborde died in 1940, Viera suffered an acute crisis, which led her to change the direction of her work. She then learned the art of engraving with Guillermo Rodríguez. She also continued to paint, but changed her themes, including scenes of nature such as flowers, animals, etc. Her painting 'Calle de Malvin' sold at Castells 'National Pictures' in 2013 for $16,500.	
Equal	Abstract	In Sentence	Sbj-Obj		Frederick III, Duke of Holstein-Gottorp	http://dbpedia.org/resource/Sophie_Augusta_of_Holstein-Gottorp	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Frederick_III,_Duke_of_Holstein-Gottorp	of Frederick III, Duke of Holstein-Gottorp	Sophie Augusta of Holstein-Gottorp (5 December 1630 in Gottorp – 12 December 1680 in Coswig) was regent of Anhalt-Zerbst in 1667-1674. She was a daughter of Frederick III, Duke of Holstein-Gottorp and Duchess Marie Elisabeth of Saxony.	
Contains	Abstract	In Sentence	Sbj-Obj		Princess Hermine Reuss of Greiz	http://dbpedia.org/resource/Princess_Henriette_of_Schönaich-Carolath	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Hermine_Reuss_of_Greiz	Princess Henriette of Schönaich-Carolath (German: Henriette Hermine Wanda Ida Luise Prinzessin von Schönaich-Carolath; 25 November 1918 – 16 March 1972) was the youngest daughter of Prince Johann Georg von Schoenaich-Carolath and Princess Hermine Reuss of Greiz	Princess Henriette of Schönaich-Carolath (German: Henriette Hermine Wanda Ida Luise Prinzessin von Schönaich-Carolath; 25 November 1918 – 16 March 1972) was the youngest daughter of Prince Johann Georg von Schoenaich-Carolath and Princess Hermine Reuss of Greiz, second wife of Wilhelm II, German Emperor.	
Equal	Abstract	In Sentence	Sbj-Obj		Christian, Margrave of Brandenburg-Bayreuth	http://dbpedia.org/resource/Erdmann_August_of_Brandenburg-Bayreuth	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Christian,_Margrave_of_Brandenburg-Bayreuth	of the nine children of Christian, Margrave of Brandenburg-Bayreuth	Erdmann August of Brandenburg-Bayreuth (b. Bayreuth, 8 October 1615 - d. Hof, 6 February 1651), was a member of the House of Hohenzollern and Hereditary Margrave (German: Erbmarkgraf) of Brandenburg-Bayreuth. He was the seventh of the nine children of Christian, Margrave of Brandenburg-Bayreuth by his wife, Marie of Prussia. In fact, he was the third-born son but the only one to survive into adulthood; his two older brothers Georg Frederick (b. and d. 1608) and Christian Ernst (b. 1613 - d. 1614) died long before his own birth. In Ansbach on 8 December 1641, Erdmann August married Sophie of Brandenburg-Ansbach (1614-1646), who was also his first cousin (daughter of Joachim Ernst, Margrave of Brandenburg-Ansbach, brother of his father). They had only one son: 1.   * Christian Ernst (b. Bayreuth, 6 August 1644 - d. Erlangen, 20 May 1712), who became Margrave of Brandenburg-Bayreuth. Sophie died on 3 December 1646. Erdmann August himself died four years later, aged thirty-five, in the middle of the preparations of his wedding with Sophie Agnes of Mecklenburg-Schwerin. Because he predeceased his father, his son Christian Ernst succeeded as Margrave of Brandenburg-Bayreuth in 1655.	
Equal	Abstract	In Sentence	Sbj-Obj		Christian, Margrave of Brandenburg-Bayreuth	http://dbpedia.org/resource/Georg_Albrecht,_Margrave_of_Brandenburg-Bayreuth-Kulmbach	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Christian,_Margrave_of_Brandenburg-Bayreuth	of the nine children of Christian, Margrave of Brandenburg-Bayreuth	Georg Albrecht of Brandenburg-Bayreuth (Bayreuth, 20 March 1619 – Schretz, 27 September 1666), was a German prince and member of the House of Hohenzollern. He was the eighth of the nine children of Christian, Margrave of Brandenburg-Bayreuth, by his wife, Marie of Prussia. He was last child of his parents who survived into adulthood; his younger brother Frederick William, born in 1620, lived only one day.	
Equal	Abstract	In Sentence	Sbj-Obj		Maria Luisa of Spain	http://dbpedia.org/resource/Archduke_Anton_Victor_of_Austria	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Maria_Luisa_of_Spain	Anton Victor was the son of Leopold II, Holy Roman Emperor, and Maria Luisa of Spain	Anton Victor, Viceroy of Lombardy-Venetia (31 August 1779 – 2 April 1835) was an Archduke of Austria and a Grand Master of the Teutonic Knights. He was also briefly the last Archbishop and Elector of Cologne and Prince-Bishop of Münster before those territories were secularised in 1803. Anton Victor was the son of Leopold II, Holy Roman Emperor, and Maria Luisa of Spain. He was born in Florence and died in Vienna. He never married and died without issue. After the death of his uncle, Maximilian Franz, Archbishop and Prince-Elector of Cologne and Prince-Bishop of Münster, Anton Victor was chosen on 9 September 1801 as Prince-Bishop of Münster and on 7 October as Archbishop and Prince Elector of Cologne. The Electorate’s Rhenish territories had been occupied by the French in 1794 and had in 1800 become part of France (in Cologne’s case as sub-prefecture of the new département de la Roër, based on Aix-la-Chapelle), this state of affairs preventing Anton from taking his seat in Cologne Cathedral (which had in any case been reduced by the revolutionaries to the status of a parish church, a status which it had up till then never possessed, but which it retained even after reinstatement of the Archdiocese in 1821 until very recently) and leaving him in control only of the Duchy of Westphalia, as well as of the Prince-Bishopric of Münster. His reign was to prove a short one - in the reorganisation of the Holy Roman Empire as provided by its law of 1803 (at the time of writing still nameless) enacting the so-called Reichsdeputationshauptschluss (recte: Recès principal de la délégation extraordinaire d’Empire ‘Hauptschluß der außerordentlichen Reichsdeputation’, ‘chief recommendation of the select committee of the Reichstag’), the archiepiscopal electorates of Cologne and Treves were abolished and Anton’s remaining territories secularised, Münster being partitioned between the Prussians and various minor princes and Westphalia claimed by the Landgrave of Hesse-Darmstadt. Anton Victor became Grand Master of the Teutonic Order in 1804. The Order's German lands, centred on Mergentheim, were secularised in 1809, but Anton remained its Grand Master until his death. Between 1816 and 1818 he was Viceroy of the Kingdom of Lombardy–Venetia.	
Equal	Abstract	In Sentence	Sbj-Obj		Zhang Hanzhi	http://dbpedia.org/resource/Hung_Huang	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Zhang_Hanzhi	Hung's mother, Zhang Hanzhi	Hung Huang (Chinese: 洪晃; pinyin: Hóng Huàng, born in 1961) is an American-Chinese television host, author, actress, blogger, media figure, and the publisher of the fashion magazine iLook. A CNN article stated that she had been referred to as "China's answer to Oprah Winfrey and Anna Wintour." Since early 2012, she has written a weekly column called ChinaFile for Women's Wear Daily. Hung's mother, Zhang Hanzhi(章含之), worked as a translator and as an English tutor for Mao Zedong. Her mother and her father, Hong Junyan(洪君彦), divorced in 1973. Zhang then married Qiao Guanhua（乔冠华）. Qiao, Hung's stepfather, was the Foreign Minister of the People's Republic of China in the 1970s. Hung's mother was later accused of collaborating with the "Gang of Four" and was placed under house arrest for two years. Hung attended Vassar College. Hung married three times, all of them ended in divorce. Her first ex-husband is film director Chen Kaige. In 2006, Hung adopted one daughter from Sichuan. Hung worked in factories until 1998, when she agreed to take over the publication of Look, a magazine that is now known as I-Look.	
Equal	Abstract	In Sentence	Sbj-Obj		Landgravine Caroline of Hesse-Darmstadt	http://dbpedia.org/resource/Landgravine_Auguste_of_Hesse-Homburg	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Landgravine_Caroline_of_Hesse-Darmstadt	of Frederick V, Landgrave of Hesse-Homburg and his wife Landgravine Caroline of Hesse-Darmstadt	Landgravine Auguste Fredericka of Hesse-Homburg (full German name: Auguste Friederike, Landgräfin von Hessen-Homburg; 28 November 1776, Bad Homburg vor der Höhe, Landgraviate of Hesse-Homburg, Holy Roman Empire – 1 April 1871, Ludwigslust, Grand Duchy of Mecklenburg-Schwerin), was a member of the House of Hesse and a Landgravine of Hesse-Homburg by birth. Through her marriage she was also a member of the House of Mecklenburg and Hereditary Grand Duchess of Mecklenburg-Schwerin. She was the sixth child and fourth daughter of Frederick V, Landgrave of Hesse-Homburg and his wife Landgravine Caroline of Hesse-Darmstadt, in turn daughter of Louis IX, Landgrave of Hesse-Darmstadt.	
Equal	Abstract	In Paragraph	Sbj-Obj		Qiao Guanhua	http://dbpedia.org/resource/Hung_Huang	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Qiao_Guanhua	Hung Huang (Chinese: 洪晃; pinyin: Hóng Huàng, born in 1961) is an American-Chinese television host, author, actress, blogger, media figure, and the publisher of the fashion magazine iLook. A CNN article stated that she had been referred to as "China's answer to Oprah Winfrey and Anna Wintour." Since early 2012, she has written a weekly column called ChinaFile for Women's Wear Daily. Hung's mother, Zhang Hanzhi(章含之), worked as a translator and as an English tutor for Mao Zedong. Her mother and her father, Hong Junyan(洪君彦), divorced in 1973. Zhang then married Qiao Guanhua	Hung Huang (Chinese: 洪晃; pinyin: Hóng Huàng, born in 1961) is an American-Chinese television host, author, actress, blogger, media figure, and the publisher of the fashion magazine iLook. A CNN article stated that she had been referred to as "China's answer to Oprah Winfrey and Anna Wintour." Since early 2012, she has written a weekly column called ChinaFile for Women's Wear Daily. Hung's mother, Zhang Hanzhi(章含之), worked as a translator and as an English tutor for Mao Zedong. Her mother and her father, Hong Junyan(洪君彦), divorced in 1973. Zhang then married Qiao Guanhua（乔冠华）. Qiao, Hung's stepfather, was the Foreign Minister of the People's Republic of China in the 1970s. Hung's mother was later accused of collaborating with the "Gang of Four" and was placed under house arrest for two years. Hung attended Vassar College. Hung married three times, all of them ended in divorce. Her first ex-husband is film director Chen Kaige. In 2006, Hung adopted one daughter from Sichuan. Hung worked in factories until 1998, when she agreed to take over the publication of Look, a magazine that is now known as I-Look.	
Equal	Abstract	In Sentence	Sbj-Obj		Thamar Angelina Komnene	http://dbpedia.org/resource/Joan_of_Taranto	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Thamar_Angelina_Komnene	Joan of Taranto (died March 1323) was a daughter of Philip I, Prince of Taranto, and his first wife Thamar Angelina Komnene	Joan of Taranto (died March 1323) was a daughter of Philip I, Prince of Taranto, and his first wife Thamar Angelina Komnene. She was Queen of Armenia by her first marriage. She was a member of the Capetian House of Anjou.	
Equal	Abstract	In Sentence	Sbj-Obj		Mamphela Ramphele	http://dbpedia.org/resource/Hlumelo_Biko	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Mamphela_Ramphele	Biko and Mamphela Ramphele	Hlumelo Biko (born January 1978, in King William's Town, Eastern Cape, South Africa) is a South African businessman and investment banker. He is the son of Steve Biko and Mamphela Ramphele. Ramphele was five months pregnant with him when she learned that Steve Biko, with whom she was having an affair, had been killed in police custody. She named him Hlumelo because it means "the shoot of a tree" in the Xhosa language. Biko holds a B.A. in History and Politics from the University of Cape Town, and a Masters of Science in International Business Government Relationships from Georgetown University. He worked for the World Bank in Washington, D.C. in 1998. Biko and Ramphele co-founded Circle Capital, an investment company, in 2005. Biko was the CEO of Circle Capital. In 2008, Bespoke Magazine called him "the driving force behind a multi-million Rand black empowerment company...one of South Africa's most intriguing empowerment vehicles." Hlumelo Biko is an Executive Chairman of a growth capital oriented investment firm called Spinnaker Growth Partners. Prior to this Hlumelo ran a successful venture capital company called Circle Capital Ventures, which invested R100m over 8 years in 8 deals, generating a return of R1.6 billion of both realised and unrealised gains net of costs. In parallel with a successful 13-year career as a venture capitalist, he is also a dedicated philanthropist, currently serving as vice-chairman of the Baxter Theatre, supporting budding small and medium enterprises as a board member of Endeavor offering mentorship and advice to a number of high impact South African entrepreneurs, and supporting increased access to education through institutions like Kommunity Group Projects, the University of Cape Town and African Schools for Excellence.	
Equal	Abstract	In Sentence	Pronoun-Obj		Richard Thorpe	http://dbpedia.org/resource/Jerry_Thorpe	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Richard_Thorpe	(**he=Jerry Thorpe**): He is the son of actor Richard Thorpe	Richard Jerome "Jerry" Thorpe (born 1926) is an American TV and film director and producer. He is the son of actor Richard Thorpe. He won an Emmy award for his work on an episode of Kung Fu. In 2003, a Golden Palm Star on the Palm Springs, California, Walk of Stars was dedicated to him and his father, Richard.	
Equal	Abstract	In Sentence	Pronoun-Obj		Purugupta	http://dbpedia.org/resource/Narasimhagupta	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Purugupta	(**he=Narasimhagupta**): He was son of Purugupta	Narasimhagupta Baladitya was an emperor of the Gupta Empire of North India. He was son of Purugupta and probably the successor of Budhagupta. Baladitya along with Yasodharman of Malwa is credited with driving the Huna people or Hephthalite Empire from the plains of North India. His clay sealing has been found in Nalanda. The name of his queen mentioned in the Nalanda sealing is Shrimitradevi. He was succeeded by his son Kumaragupta III. He defeated the Huna ruler Mihirakula on the delta of Ganga-Brahmaputra.	
Equal	Abstract	In Sentence	Sbj-Obj		Archduke Karl Salvator of Austria	http://dbpedia.org/resource/Archduchess_Maria_Immakulata_of_Austria	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Archduke_Karl_Salvator_of_Austria	Maria Immakulata was the seventh child and fifth eldest daughter of Archduke Karl Salvator of Austria	Archduchess Maria Immakulata of Austria (German: Maria Immakulata Rainera Josepha Ferdinande Theresia Leopoldine Antoinette Henriette Franziska Karoline Aloysia Januaria Christine Philomena Rosalia, Erzherzogin von Österreich, Prinzessin von Toskana) (3 September 1878, Baden bei Wien, Lower Austria, Austria–Hungary – 25 November 1968, Schloss Altshausen, Altshausen, Baden-Württemberg, Germany) was a member of the House of Habsburg-Lorraine and Archduchess and Princess of Austria, Princess of Hungary, Bohemia, and Tuscany by birth. Through her marriage to Duke Robert of Württemberg, Maria Immakulata was also a member of the House of Württemberg. Maria Immakulata was the seventh child and fifth eldest daughter of Archduke Karl Salvator of Austria and his wife Princess Maria Immaculata of Bourbon-Two Sicilies.	
Equal	Abstract	In Sentence	Sbj-Obj		Louis, Count of Armagnac	http://dbpedia.org/resource/Charlotte_of_Lorraine	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Louis,_Count_of_Armagnac	Charlotte de Lorraine-Armagnac (6 May 1678 – 21 January 1757) was a Princess of Lorraine by birth and daughter of Louis, Count of Armagnac	Charlotte de Lorraine-Armagnac (6 May 1678 – 21 January 1757) was a Princess of Lorraine by birth and daughter of Louis, Count of Armagnac. She was known as Mademoiselle d'Armagnac and died unmarried.	
Equal	Abstract	In Sentence	Sbj-Obj		John Rolfe	http://dbpedia.org/resource/Thomas_Rolfe	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/John_Rolfe	Thomas Rolfe (January 30, 1615 – c. 1680?) was the only child of Pocahontas and her English husband, John Rolfe	Thomas Rolfe (January 30, 1615 – c. 1680?) was the only child of Pocahontas and her English husband, John Rolfe. His maternal grandfather was Wahunsunacock, the chief of Powhatan tribe in Virginia.	
Contains	Abstract	In Sentence	Sbj-Obj		Ratna Pathak Shah	http://dbpedia.org/resource/Imaad_Shah	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Ratna_Pathak	Shah and Ratna Pathak Shah	Imaad Shah, born Imaaduddin Shah, is an Indian actor and musician. He is the son of actors Naseeruddin Shah and Ratna Pathak Shah, his maternal grandmother was actress Dina Pathak. He is also a theatre actor, and works with theatre company Motley, founded by Naseeruddin Shah and Benjamin Gilani. He has been a part of many productions including Katha collage, 'Waiting for Godot', 'By George' and 'Manto Ismat Haazir hain', apart from working with other groups.	
Equal	Abstract	In Sentence	Sbj-Obj		Taddeo Barberini	http://dbpedia.org/resource/Carlo_Barberini	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Taddeo_Barberini	Barberini (Pope Urban VIII) and son of Taddeo Barberini	Carlo Barberini (1 June 1630 – 2 October 1704) was an Italian Catholic cardinal and member of the Barberini family. He was the grand-nephew of Maffeo Barberini (Pope Urban VIII) and son of Taddeo Barberini (Prince of Palestrina).	
Equal	Abstract	In Sentence	Sbj-Obj		Henry de Lacy, 3rd Earl of Lincoln	http://dbpedia.org/resource/Alice_de_Lacy,_4th_Countess_of_Lincoln	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Henry_de_Lacy,_3rd_Earl_of_Lincoln	Alice was the only daughter and heir of Henry de Lacy, 3rd Earl of Lincoln	Alice de Lacy, suo jure 4th Countess of Lincoln, suo jure 5th Countess of Salisbury (25 December 1281, Denbigh Castle – 2 October 1348, Barlings Abbey) was an English peeress. Born on Christmas Day 1281, Alice was the only daughter and heir of Henry de Lacy, 3rd Earl of Lincoln and Margaret Longespée, 4th Countess of Salisbury suo jure (in her own right). Her mother Margaret was the great-granddaughter and ultimate heir of one of the illegitimate sons of Henry II of England, William Longespée (Longsword), whose nickname became his surname. In her long and eventful life Alice was married three times, the first time at the age of 12; widowed three times; abducted; imprisoned; raped; and her inheritance extorted from her. Yet throughout her life she remained generous and respected by her subordinates and those who were dependent upon her.	
Equal	Abstract	In Sentence	Sbj-Obj		Charles I, Duke of Bourbon	http://dbpedia.org/resource/Catharine_of_Bourbon	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Charles_I,_Duke_of_Bourbon	of Charles I, Duke of Bourbon	Catharine of Bourbon (1440 in Liège – 21 May 1469 in Nijmegen) was Duchess of Guelders from 1465-1469 by her marriage to Adolf, Duke of Guelders. She was a daughter of Charles I, Duke of Bourbon and his wife Agnes of Burgundy.	
